State,Cities
Andhra Pradesh,"Visakhapatnam, Vijayawada"
Arunachal Pradesh,Itanagar
Assam,Guwahati
Bihar,"Patna, Muzaffarpur, Bhagalpur"
Chhattisgarh,"Raipur, Bilaspur, Bhilai Nagar"
Goa,Panaji
Gujarat,"Ahmedabad, Vadodara, Surat, Rajkot"
Haryana,"Faridabad, Gurugram, Yamunanagar"
Himachal Pradesh,"Shimla, Baddi"
Jharkhand,"Ranchi, Jamshedpur"
Karnataka,"Bengaluru, Mysuru, Mangaluru, Hubballi-Dharwad"
Kerala,"Thiruvananthapuram, Kochi, Kozhikode"
Madhya Pradesh,"Indore, Bhopal, Gwalior"
Maharashtra,"Mumbai, Pune"
Manipur,Imphal
Meghalaya,Shillong
Mizoram,"Aizawl,"
Nagaland,Dimapur
Odisha,"Bhubaneswar, Cuttack, Rourkela"
Punjab,"Ludhiana, Jalandhar"
Rajasthan,"Jaipur, Jodhpur, Udaipur"
Sikkim,Gangtok
Tamil Nadu,"Chennai, Coimbatore, Madurai, Tiruchirappalli"
Telangana,"Hyderabad, Warangal"
Tripura,Agartala
Uttarakhand,"Dehradun, Haridwar, Nainital"
Uttar Pradesh,"Agra, Kanpur, Lucknow, Varanasi"
West Bengal,"Kolkata, Asansol, Durgapur, Haldia"
